Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description,Hacking/IT Incident,Other,Unauthorized Access/Disclosure,Theft,Improper Disposal,Loss,Unknown,Name of Covered Entity clean,Year,Month,Day,quarter,dayofweek,is_weekend,weekofyear,Desktop Computer,Electronic Medical Record,Email,Laptop,Network Server,Other Portable Electronic Device,Paper/Films,Yes,No
Providence Health Plan ,OR,Health Plan,651.0,2019-03-19,Theft,Laptop,Yes,"An unencrypted laptop computer containing the protected health information (PHI) of 652 individuals was stolen from an employee of RSC Insurance Brokerage, a business associate (BA) of Providence Health Plan, the covered entity (CE). The types of PHI involved in the incident included claims information, names, dates of birth, and clinical information. The CE provided breach notification to HHS, potentially affected individuals, and the media, as well as substitute notice.  OCR obtained assurances that the CE implemented these corrective actions and determined that no further action is required.",0.0,0,0.0,1.0,0.0,0.0,0.0,Providence Health Plan ,2019.0,3.0,19.0,1.0,1.0,0,12.0,0,0,0,1,0,0,0,1,0
"Lanier Family & Cosmetic Dentistry, P.C.",GA,Healthcare Provider,1950.0,2019-01-29,Unauthorized Access/Disclosure,Email,No,"On October 24, 2018, via a business associate (BA), an employee sent emails to 1,953 patients that erroneously contained a spreadsheet that listed protected health information (PHI) for all recipients of the message.  The spreadsheet included names, genders, ages, addresses, telephone numbers, and email addresses.  Immediately following the breach, the covered entity (CE) sent an apology email to the affected individuals, sanctioned the responsible employee, trained all employees on its new email policy, and terminated its contract with the BA.  OCR provided the CE with extensive technical assistance regarding the definition of a breach, breach notification, policies and procedures, and BA agreements.  In response to OCR’s investigation, the CE reviewed, revised, and drafted new policies and procedures and provided breach notification to HHS, affected individuals, and the media.  OCR obtained assurances that the CE implemented the corrective actions listed above.",0.0,0,1.0,0.0,0.0,0.0,0.0,Lanier Family  Cosmetic Dentistry ,2019.0,1.0,29.0,1.0,1.0,0,5.0,0,0,1,0,0,0,0,0,1
ABB Inc. Active Employee Group Benefit Plan,NC,Health Plan,6877.0,2019-01-18,Unauthorized Access/Disclosure,Paper/Films,Yes,"The covered entity (CE), ABB Inc. Active Employee Group Benefit Plan, contracts with BlueAdvantage Administrators of Arkansas, a business associate (BA), to be a third party administrator for the CE’s medical plan for its U.S. employees.  Due to a mailing error, the BA impermissibly disclosed the protected health information (PHI) of 6,877 plan members, including member names, ID numbers, and addresses.  The CE provided breach notification to HHS and the media, and the BA provided individual notification.  In order to prevent a similar mistake from happening in the future, the BA reviewed and made changes to its procedures and retrained staff.  The BA also cancelled the member cards and ID numbers affected by the mailing, and issued new cards and ID numbers.  OCR determined that the CE had a business associate agreement in place with the BA and obtained assurances that the CE implemented the corrective actions listed above. ",0.0,0,1.0,0.0,0.0,0.0,0.0,ABB  Active Employee Group Benefit Plan,2019.0,1.0,18.0,1.0,4.0,0,3.0,0,0,0,0,0,0,1,1,0
Lebanon VA Medical Center,PA,Healthcare Provider,1002.0,2019-01-16,Unauthorized Access/Disclosure,Email,No,"An employee of the covered entity (CE) inadvertently emailed a document with protected health information (PHI) to an unintended recipient. The breach potentially affected the PHI of 993 individuals and included names and clinical information.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE restricted the ability of certain documents to be opened by unintended recipients, and retrained staff members. OCR reviewed the CE's policies and procedures to ensure compliance with the Privacy and Security Rules and obtained assurances that the CE implemented the corrective action steps listed above.",0.0,0,1.0,0.0,0.0,0.0,0.0,Lebanon VA Medical Center,2019.0,1.0,16.0,1.0,2.0,0,3.0,0,0,1,0,0,0,0,0,1
Humana Inc ,KY,Health Plan,684.0,2018-12-31,Theft,Paper/Films,No,"On July 3, 2018, the covered entity’s (CE) sale associate experienced a theft when a briefcase was stolen from a vehicle in Nashville, TN.  The briefcase contained an encrypted laptop and, in violation of the CE's policies, a printed document containing the protected health information (PHI) of 684 individuals, including demographic information.  In response to the incident, the CE transmitted a “poison pill” to the laptop, automatically locking the device and the hard drive.  The CE also sanctioned the involved associate with a performance improvement plan and retrained all other sales associates on HIPAA.  The CE provided breach notification to HHS, affected individuals, and the media.  OCR obtained assurances that the CE implemented the corrective actions noted above.
",0.0,0,0.0,1.0,0.0,0.0,0.0,Humana  ,2018.0,12.0,31.0,4.0,0.0,0,1.0,0,0,0,0,0,0,1,0,1
"SEIU Local 32BJ, District 36 Building Operators Welfare Trust Fund",PA,Health Plan,911.0,2018-12-21,Unauthorized Access/Disclosure,Email,Yes,"An employee of Express Scripts, a business associate (BA), inadvertently sent an email intended for the covered entity (CE) to another multi-employer health and welfare fund.  The breach included the protected health information (PHI) of 911 individuals, including names, telephone numbers, social security numbers, dates of birth, and prescription information.  The CE provided breach notification to HHS, affected individuals, and the media and provided credit monitoring to individuals.  Following the breach, the CE ensured that the BA retrained the responsible employee.  Additionally, OCR reviewed the CE’s risk analysis to ensure compliance with the Security Rule.  The CE no longer does business with the BA.",0.0,0,1.0,0.0,0.0,0.0,0.0,SEIU Local 32BJ District 36 Building Operators Welfare Trust Fund,2018.0,12.0,21.0,4.0,4.0,0,51.0,0,0,1,0,0,0,0,1,0
DePaul University,IL,Health Plan,656.0,2018-12-21,Unauthorized Access/Disclosure,Email,No,"On December 14, 2018, a DePaul University employee inadvertently sent an email to participants in its health plan’s wellness program without blind copying the email recipients.  This allowed the names of 656 individuals to be visible to other recipients of the email.  The covered entity (CE) provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE send an email to recipients requesting that they delete the erroneous email, counseled and educated the employee who sent the email, and provided HIPAA refresher training to the benefits staff.  The CE also implemented a new process to automate blind copying of recipients for any group email distribution or notices related to the CE's health and welfare benefits plan.  OCR obtained documented assurances that the CE implemented these corrective action steps.

",0.0,0,1.0,0.0,0.0,0.0,0.0,DePaul University,2018.0,12.0,21.0,4.0,4.0,0,51.0,0,0,1,0,0,0,0,0,1
"CHI Health Care, Inc.",MD,Healthcare Provider,722.0,2018-11-30,Unauthorized Access/Disclosure,"Other Portable Electronic Device, Paper/Films",No,"On July 22, 2018, a former employee retained certain patient lists and other protected health information (PHI) after termination of employment and used some of this information to email a solicitation to approximately 722 patients of the covered entity (CE), offering nutrition services on October 4, 2018.  The types of PHI involved in the incident included demographic and clinical information.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE investigated the matter and ensured that all paper and electronic copies of the files were returned to the CE.  The former employee has represented orally, and in a written and signed attestation, that the files were not downloaded, copied, retained, used, archived or re-disclosed to any other parties, other than in the email solicitation.  Additionally, the CE has confirmed that its computer network and electronic medical record system are secure.  Following the breach, the CE retrained its entire workforce members on two dates.  The CE reviewed and updated its most recent risk assessment.  OCR reviewed the notice sent to the affected individuals, as well as the security measures implemented to address risks and vulnerabilities. OCR obtained assurances that the CE implemented the corrective actions listed.   ",0.0,1,1.0,0.0,0.0,0.0,0.0,CHI Health Care ,2018.0,11.0,30.0,4.0,4.0,0,48.0,0,0,0,0,0,1,1,0,1
Thielen Student Health Center,IA,Healthcare Provider,599.0,2018-11-30,Unauthorized Access/Disclosure,Email,No,"Thielen Student Health Center, the covered entity (CE), sent patient survey invitation emails to the wrong patients on November 5, 2018, due to a human coding error.  Initially, the CE reported that 599 individuals were affected by the breach; however, the information in 594 of the erroneously addressed emails implicated the Family Educational Rights and Privacy Act (FERPA), rather than HIPAA.  Additionally, the CE was able to successfully recall one of the five emails containing electronic protected health information (ePHI); therefore, only ePHI belonging to four individuals was breached under HIPAA.  The breached ePHI included patients' names, appointment dates, and physician's names.  The CE provided breach notification to the affected individuals, the media, and HHS.  The CE revised its patient survey emails to no longer contain ePHI, retrained the employee responsible for the breach, and provided OCR with written assurances that it would revise and implement Privacy Rule policies and procedures.
",0.0,0,1.0,0.0,0.0,0.0,0.0,Thielen Student Health Center,2018.0,11.0,30.0,4.0,4.0,0,48.0,0,0,1,0,0,0,0,0,1
San Mateo Medical Center,CA,Healthcare Provider,5000.0,2018-11-13,Unauthorized Access/Disclosure,Other,No,"On November 13, 2018, OCR received a breach notification report from San Mateo Medical Center (SMMC).  SMMC reported that the breach affected approximately 5,000 individuals.  After an internal investigation, SMMC determined that the report was filed in error, the incident did not amount to a breach and, the incident should not have been reported since no breach occurred.  Based on this information, OCR closed the case.",0.0,1,1.0,0.0,0.0,0.0,0.0,San Mateo Medical Center,2018.0,11.0,13.0,4.0,1.0,0,46.0,0,0,0,0,0,0,0,0,1
